"location_name","Region","Superregion","2021 Per-capita Expenditure (95% UI, US$)","2050 Base Per-capita Expenditure (95% UI, US$)","Total % change 2021–2050 base scenario (95% UI)","2050 WHO Per-capita Expenditure (95% UI, US$)","Total % change 2021–2050 WHO target (95% UI)","Dental Utilisation Scenario"
"China","East Asia","Southeast Asia, East Asia, and Oceania","18.59 (9.41-27.77)","18.7 (8.79-28.62)","1% (-51–108%)","18.7 (8.79-28.62)","1% (-51–108%)","high"
"Democratic People's Republic of Korea","East Asia","Southeast Asia, East Asia, and Oceania","0.12 (-1.43-1.67)","0.13 (-1.07-1.34)","12% (-100–838362489%)","15.84 (-18.06-49.73)","13183% (-100–6968092595%)","low"
"Taiwan (Province of China)","East Asia","Southeast Asia, East Asia, and Oceania","89.22 (38.4-140.04)","97.13 (40.1-154.16)","9% (-52–147%)","97.13 (40.1-154.16)","9% (-52–147%)","high"
"Oceania","Oceania","Southeast Asia, East Asia, and Oceania","2.14 (-2.99-7.27)","2.16 (-3.24-7.57)","1% (-97–3132%)","13.61 (-9.21-36.42)","536% (-66–11777%)",NA
"American Samoa","Oceania","Southeast Asia, East Asia, and Oceania","0.59 (-1.88-3.06)","0.61 (-2.02-3.24)","4% (-100–42717%)","56.66 (9.43-103.89)","9535% (33–698027%)","low"
"Cook Islands","Oceania","Southeast Asia, East Asia, and Oceania","0.59 (-2.05-3.23)","NA (NA-NA)","NA% (NA–NA%)","NA (NA-NA)","NA% (NA–NA%)","low"
"Fiji","Oceania","Southeast Asia, East Asia, and Oceania","4.77 (-3.61-13.15)","5.04 (-3.57-13.64)","6% (-91–1123%)","29.42 (-1.62-60.46)","517% (-21–4684%)","mid"
"Guam","Oceania","Southeast Asia, East Asia, and Oceania","0.83 (-2.58-4.23)","0.83 (-2.49-4.15)","0% (-100–31488%)","71.44 (28.36-114.51)","8554% (33–561732%)","low"
"Kiribati","Oceania","Southeast Asia, East Asia, and Oceania","1.42 (-4.34-7.18)","1.54 (-5.01-8.09)","9% (-100–38774%)","8.41 (-22.7-39.53)","493% (-98–143950%)","mid"
"Marshall Islands","Oceania","Southeast Asia, East Asia, and Oceania","3.02 (-4.35-10.39)","3.05 (-3.71-9.8)","1% (-96–2624%)","18.35 (-11.91-48.6)","507% (-68–11439%)","mid"
"Micronesia (Federated States of)","Oceania","Southeast Asia, East Asia, and Oceania","2.08 (-4.44-8.6)","2.2 (-4.54-8.94)","6% (-99–8411%)","12.54 (-16.1-41.17)","504% (-88–29266%)","mid"
"Nauru","Oceania","Southeast Asia, East Asia, and Oceania","4.54 (-4.22-13.29)","NA (NA-NA)","NA% (NA–NA%)","NA (NA-NA)","NA% (NA–NA%)","mid"
"Niue","Oceania","Southeast Asia, East Asia, and Oceania","0.4 (-1.66-2.46)","NA (NA-NA)","NA% (NA–NA%)","NA (NA-NA)","NA% (NA–NA%)","low"
"Northern Mariana Islands","Oceania","Southeast Asia, East Asia, and Oceania","0.45 (-1.62-2.52)","0.47 (-1.7-2.65)","5% (-100–70038%)","41.3 (8.36-74.24)","9064% (-14–976452%)","low"
"Palau","Oceania","Southeast Asia, East Asia, and Oceania","6.22 (-3.05-15.5)","NA (NA-NA)","NA% (NA–NA%)","NA (NA-NA)","NA% (NA–NA%)","mid"
"Papua New Guinea","Oceania","Southeast Asia, East Asia, and Oceania","2.01 (-4.45-8.48)","2.08 (-4.53-8.7)","4% (-99–9348%)","11.97 (-15.95-39.89)","494% (-89–31355%)","mid"
"Samoa","Oceania","Southeast Asia, East Asia, and Oceania","2.91 (-3.9-9.72)","2.93 (-4.11-9.96)","1% (-96–2783%)","17.41 (-12.98-47.81)","498% (-68–11000%)","mid"
"Solomon Islands","Oceania","Southeast Asia, East Asia, and Oceania","1.54 (-5.85-8.92)","1.62 (-4.9-8.14)","6% (-100–55565%)","8.96 (-18.87-36.79)","483% (-98–178399%)","mid"
"Tokelau","Oceania","Southeast Asia, East Asia, and Oceania","0.37 (-1.79-2.53)","NA (NA-NA)","NA% (NA–NA%)","NA (NA-NA)","NA% (NA–NA%)","low"
"Tonga","Oceania","Southeast Asia, East Asia, and Oceania","3.19 (-4.05-10.43)","3.19 (-4.1-10.47)","0% (-96–2404%)","19.03 (-10.75-48.81)","497% (-62–9287%)","mid"
"Tuvalu","Oceania","Southeast Asia, East Asia, and Oceania","2.59 (-4.04-9.21)","NA (NA-NA)","NA% (NA–NA%)","NA (NA-NA)","NA% (NA–NA%)","mid"
"Vanuatu","Oceania","Southeast Asia, East Asia, and Oceania","0.1 (-1.12-1.32)","0.11 (-1.6-1.82)","6% (-100–39923321791%)","10.23 (-20.16-40.61)","9882% (-100–2182121053%)","low"
"Southeast Asia","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.52 (-0.68-1.72)","0.55 (-0.72-1.81)","5% (-96–2642%)","50.53 (27.88-73.18)","9596% (828–101193%)",NA
"Cambodia","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.23 (-1.31-1.77)","0.27 (-1.57-2.11)","17% (-100–1429474%)","28.02 (-12.09-68.14)","11884% (-86–10104447%)","low"
"Indonesia","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.63 (-1.99-3.26)","0.67 (-2.25-3.6)","7% (-100–43242%)","63.18 (9.91-116.46)","9888% (45–689635%)","low"
"Lao People's Democratic Republic","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.27 (-1.17-1.71)","0.31 (-1.4-2.03)","17% (-100–246852%)","29.67 (-3.55-62.9)","10950% (-54–2637701%)","low"
"Malaysia","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.87 (-2.62-4.36)","0.92 (-2.43-4.27)","5% (-100–23208%)","81.58 (34.84-128.33)","9229% (65–525798%)","low"
"Maldives","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.63 (-2.06-3.33)","0.76 (-2.42-3.94)","20% (-100–46362%)","66.73 (20.6-112.85)","10420% (42–779335%)","low"
"Mauritius","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.74 (-2.2-3.68)","0.76 (-2.15-3.68)","3% (-100–25307%)","68.68 (23.5-113.86)","9157% (66–514984%)","low"
"Myanmar","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.25 (-1.71-2.22)","0.26 (-1.3-1.83)","4% (-100–1838453%)","26.17 (-7.99-60.34)","10243% (-96–27117132%)","low"
"Philippines","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.3 (-1.56-2.17)","0.31 (-1.52-2.15)","4% (-100–510812%)","28.05 (-1.48-57.59)","9201% (-82–4941261%)","low"
"Seychelles","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.93 (-2.38-4.25)","0.99 (-2.7-4.67)","6% (-99–18152%)","85.71 (37.4-134.03)","9085% (152–334587%)","low"
"Sri Lanka","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.52 (-1.95-3)","0.56 (-1.81-2.92)","6% (-100–61063%)","51.5 (10.06-92.94)","9728% (-19–1189765%)","low"
"Thailand","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.8 (-2.74-4.34)","0.87 (-2.76-4.5)","9% (-100–48148%)","77.26 (18.74-135.78)","9596% (7–879675%)","low"
"Timor-Leste","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.19 (-1.17-1.55)","0.19 (-1.01-1.4)","1% (-100–1395890%)","20.22 (-11.69-52.12)","10556% (-93–16419575%)","low"
"Viet Nam","Southeast Asia","Southeast Asia, East Asia, and Oceania","0.38 (-1.49-2.26)","0.41 (-1.54-2.35)","7% (-100–99817%)","39.03 (1.74-76.32)","10119% (-32–1524634%)","low"
"Sub-Saharan Africa",NA,"Sub-Saharan Africa","0.59 (-0.07-1.26)","0.53 (-0.09-1.16)","-10% (-82–356%)","22.98 (12.99-32.98)","3772% (1058–12846%)",NA
"Central Sub-Saharan Africa","Central Sub-Saharan Africa","Sub-Saharan Africa","0.15 (-0.85-1.15)","0.16 (-0.87-1.2)","12% (-100–1193143%)","17.18 (-4.18-38.55)","11604% (-88–11853404%)",NA
"Angola","Central Sub-Saharan Africa","Sub-Saharan Africa","0.28 (-1.45-2.02)","0.31 (-1.34-1.96)","10% (-100–366008%)","30.99 (-5.72-67.7)","10856% (-79–5672206%)","low"
"Central African Republic","Central Sub-Saharan Africa","Sub-Saharan Africa","0.05 (-0.5-0.6)","0.07 (-0.47-0.6)","30% (-100–54000547%)","9.21 (-21.79-40.21)","17216% (-100–932286561%)","low"
"Congo","Central Sub-Saharan Africa","Sub-Saharan Africa","0.27 (-1.31-1.84)","0.3 (-1.65-2.26)","15% (-100–724861%)","29.75 (-9.96-69.46)","11126% (-75–4965658%)","low"
"Democratic Republic of the Congo","Central Sub-Saharan Africa","Sub-Saharan Africa","0.08 (-1.3-1.45)","0.09 (-1.3-1.48)","19% (-100–1878247770913%)","10.4 (-17.75-38.55)","13437% (-100–1021054838087%)","low"
"Equatorial Guinea","Central Sub-Saharan Africa","Sub-Saharan Africa","0.69 (-2.08-3.45)","0.8 (-2.35-3.96)","17% (-100–32554%)","73.06 (23.4-122.73)","10554% (78–636781%)","low"
"Gabon","Central Sub-Saharan Africa","Sub-Saharan Africa","0.65 (-2.22-3.51)","0.72 (-2.23-3.67)","10% (-100–46047%)","65.73 (17.61-113.84)","10020% (16–885236%)","low"
"Eastern Sub-Saharan Africa","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.17 (-0.49-0.83)","0.19 (-0.38-0.76)","13% (-99–14623%)","20.92 (6.13-35.72)","12159% (138–630372%)",NA
"Burundi","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.06 (-1.06-1.18)","0.08 (-1.49-1.66)","44% (-100–100791364296130%)","8.84 (-14.9-32.59)","15280% (-100–5436232486624%)","low"
"Comoros","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.18 (-1.74-2.09)","0.22 (-1.56-2.01)","28% (-100–94626382%)","22.79 (-15.43-61.01)","12897% (-100–811525730%)","low"
"Djibouti","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.31 (-1.5-2.11)","0.37 (-1.88-2.63)","21% (-100–546817%)","35.88 (-7.29-79.05)","11539% (-70–4579208%)","low"
"Eritrea","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.11 (-0.83-1.05)","0.15 (-1.25-1.54)","37% (-100–52052139%)","15.83 (-18.59-50.25)","14585% (-98–116771621%)","low"
"Ethiopia","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.2 (-1.76-2.16)","0.23 (-1.54-2.01)","17% (-100–32134919%)","27.35 (-20.72-75.42)","13702% (-99–320765241%)","low"
"Kenya","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.28 (-1.82-2.37)","0.33 (-1.58-2.23)","17% (-100–1532127%)","36.76 (-16.65-90.16)","13038% (-94–26983669%)","low"
"Madagascar","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.07 (-0.62-0.76)","0.08 (-0.67-0.83)","22% (-100–115099162%)","9.14 (-18.64-36.92)","13535% (-100–618156609%)","low"
"Malawi","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.1 (-1.88-2.08)","0.12 (-0.99-1.23)","22% (-100–290445842663%)","13.71 (-17.73-45.14)","13499% (-100–5094426064011%)","low"
"Mozambique","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.07 (-0.6-0.75)","0.11 (-1.23-1.45)","49% (-100–486727781%)","11.87 (-22.28-46.02)","15776% (-99–202080917%)","low"
"Rwanda","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.06 (-0.19-0.31)","0.06 (-0.19-0.32)","7% (-100–45535%)","5.03 (0.84-9.21)","8733% (4–750975%)","low"
"Somalia","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.04 (-0.34-0.43)","0.04 (-0.27-0.36)","3% (-100–12083992%)","5.56 (-11.55-22.67)","13087% (-99–197480278%)","low"
"South Sudan","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.08 (-0.52-0.69)","0.1 (-1.02-1.23)","21% (-100–70095010%)","11.03 (-20.45-42.51)","13066% (-94–31397064%)","low"
"Uganda","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.15 (-2.46-2.76)","0.17 (-1.33-1.67)","11% (-100–24019702614%)","18.04 (-15.39-51.48)","11683% (-100–328958630906%)","low"
"United Republic of Tanzania","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.27 (-1.1-1.65)","0.27 (-0.94-1.49)","1% (-100–81161%)","26.22 (3.11-49.32)","9492% (-42–1577529%)","low"
"Zambia","Eastern Sub-Saharan Africa","Sub-Saharan Africa","0.19 (-1.2-1.59)","0.22 (-1.27-1.71)","13% (-100–2207382%)","23.44 (-12.94-59.82)","11972% (-92–18712347%)","low"
"Southern Sub-Saharan Africa","Southern Sub-Saharan Africa","Sub-Saharan Africa","5.86 (-1.44-13.16)","6.29 (-1.33-13.92)","7% (-81–511%)","35.13 (11.65-58.6)","499% (46–2365%)",NA
"Botswana","Southern Sub-Saharan Africa","Sub-Saharan Africa","10.57 (-2.66-23.8)","11.08 (-2.05-24.21)","5% (-81–488%)","68.25 (39.42-97.07)","546% (72–2320%)","mid"
"Eswatini","Southern Sub-Saharan Africa","Sub-Saharan Africa","5.59 (-3.42-14.59)","6.57 (-3.99-17.13)","18% (-88–1045%)","34.89 (1.41-68.36)","524% (-4–3973%)","mid"
"Lesotho","Southern Sub-Saharan Africa","Sub-Saharan Africa","2.25 (-4.97-9.47)","2.53 (-4.01-9.07)","12% (-98–6790%)","13.28 (-14.21-40.77)","489% (-87–26640%)","mid"
"Namibia","Southern Sub-Saharan Africa","Sub-Saharan Africa","0.34 (-1.47-2.15)","0.37 (-1.47-2.2)","9% (-100–165085%)","33.79 (1.07-66.51)","9892% (-57–2316372%)","low"
"South Africa","Southern Sub-Saharan Africa","Sub-Saharan Africa","7.09 (-3.05-17.23)","8.02 (-3.33-19.36)","13% (-85–745%)","43.1 (9.08-77.12)","508% (19–3010%)","mid"
"Zimbabwe","Southern Sub-Saharan Africa","Sub-Saharan Africa","1.96 (-4.57-8.48)","2.18 (-3.98-8.35)","12% (-99–8699%)","11.67 (-16.67-40.02)","496% (-90–36748%)","mid"
"Western Sub-Saharan Africa","Western Sub-Saharan Africa","Sub-Saharan Africa","0.22 (-0.52-0.96)","0.25 (-0.66-1.16)","12% (-99–15354%)","24.74 (7.6-41.88)","11018% (274–330594%)",NA
"Benin","Western Sub-Saharan Africa","Sub-Saharan Africa","0.22 (-1.62-2.06)","0.27 (-1.83-2.37)","23% (-100–10850005%)","27.57 (-16.25-71.38)","12408% (-97–60523510%)","low"
"Burkina Faso","Western Sub-Saharan Africa","Sub-Saharan Africa","0.2 (-1.47-1.87)","0.24 (-1.95-2.44)","20% (-100–23691376%)","26.4 (-21.41-74.21)","12900% (-97–58827909%)","low"
"Cabo Verde","Western Sub-Saharan Africa","Sub-Saharan Africa","0.55 (-2.9-4)","0.6 (-2.77-3.97)","9% (-100–469969%)","63.62 (-17.13-144.37)","11395% (-80–6657741%)","low"
"Cameroon","Western Sub-Saharan Africa","Sub-Saharan Africa","0.29 (-1.56-2.14)","0.35 (-2.4-3.1)","22% (-100–3133419%)","38.03 (-19.85-95.9)","13124% (-82–9875897%)","low"
"Chad","Western Sub-Saharan Africa","Sub-Saharan Africa","0.13 (-0.98-1.24)","0.16 (-1.26-1.57)","18% (-100–28763520%)","17.67 (-19.78-55.12)","13329% (-98–79409457%)","low"
"Côte d'Ivoire","Western Sub-Saharan Africa","Sub-Saharan Africa","0.32 (-1.57-2.22)","0.39 (-2.03-2.81)","21% (-100–645717%)","38.41 (-10.17-86.99)","11864% (-71–4990016%)","low"
"Gambia","Western Sub-Saharan Africa","Sub-Saharan Africa","0.25 (-2.27-2.77)","0.31 (-2.66-3.27)","22% (-100–141708807%)","35.08 (-25.75-95.91)","13910% (-99–374856465%)","low"
"Ghana","Western Sub-Saharan Africa","Sub-Saharan Africa","0.43 (-2.03-2.88)","0.51 (-2.74-3.76)","20% (-100–624129%)","50.38 (-12.48-113.23)","11682% (-67–4192282%)","low"
"Guinea","Western Sub-Saharan Africa","Sub-Saharan Africa","0.21 (-1.44-1.86)","0.26 (-1.93-2.45)","23% (-100–12364708%)","29.21 (-22.11-80.53)","13756% (-95–42517796%)","low"
"Guinea-Bissau","Western Sub-Saharan Africa","Sub-Saharan Africa","0.16 (-1.82-2.13)","0.2 (-2-2.41)","28% (-100–2135061634%)","21.87 (-20.15-63.9)","13767% (-100–4379075529%)","low"
"Liberia","Western Sub-Saharan Africa","Sub-Saharan Africa","0.14 (-1.03-1.32)","0.2 (-1.62-2.01)","38% (-100–29765244%)","24.72 (-28.92-78.37)","17124% (-96–80750835%)","low"
"Mali","Western Sub-Saharan Africa","Sub-Saharan Africa","0.19 (-1.3-1.67)","0.22 (-1.74-2.19)","19% (-100–15944027%)","25.13 (-23.58-73.84)","13303% (-96–46146548%)","low"
"Mauritania","Western Sub-Saharan Africa","Sub-Saharan Africa","0.31 (-1.78-2.41)","0.36 (-2.21-2.93)","15% (-100–2082642%)","36.27 (-12.55-85.09)","11517% (-88–10903472%)","low"
"Niger","Western Sub-Saharan Africa","Sub-Saharan Africa","0.08 (-1.33-1.48)","0.08 (-0.82-0.97)","1% (-100–200823461903%)","8.9 (-20.28-38.09)","11376% (-100–1145271402171%)","low"
"Nigeria","Western Sub-Saharan Africa","Sub-Saharan Africa","0.2 (-1.24-1.64)","0.23 (-1.47-1.94)","17% (-100–3378170%)","21.24 (-10.1-52.59)","10554% (-93–16755062%)","low"
"Sao Tome and Principe","Western Sub-Saharan Africa","Sub-Saharan Africa","0.3 (-1.65-2.25)","0.36 (-2.41-3.14)","22% (-100–2928709%)","37.48 (-17.67-92.64)","12532% (-85–10570925%)","low"
"Senegal","Western Sub-Saharan Africa","Sub-Saharan Africa","0.25 (-1.61-2.12)","0.28 (-1.51-2.08)","12% (-100–1910129%)","32.39 (-17.33-82.11)","12721% (-93–24111206%)","low"
"Sierra Leone","Western Sub-Saharan Africa","Sub-Saharan Africa","0.22 (-2.54-2.99)","0.3 (-3.38-3.98)","34% (-100–4521789030%)","31.42 (-29.12-91.95)","13864% (-100–3487851665%)","low"
"Togo","Western Sub-Saharan Africa","Sub-Saharan Africa","0.18 (-1.24-1.6)","0.24 (-2.06-2.53)","33% (-100–34613478%)","25.85 (-21.89-73.59)","14329% (-96–48352598%)","low"
